NODE;SCENARIO;TECHNOLOGY;YEAR;MIN CAPACITY [MW];MAX CAPACITY [MW]
MK00;National Trends;Nuclear;2045;0;0
MK00;National Trends;Nuclear;2050;0;0
MT00;National Trends;Nuclear;2030;0;0
MT00;National Trends;Nuclear;2035;0;0
MT00;National Trends;Nuclear;2040;0;0
MT00;National Trends;Nuclear;2045;0;0
MT00;National Trends;Nuclear;2050;0;0
NL00;National Trends;Nuclear;2030;486;486
NL00;National Trends;Nuclear;2035;243;243
NL00;National Trends;Nuclear;2040;0;0
NL00;National Trends;Nuclear;2045;0;0
NL00;National Trends;Nuclear;2050;0;0
NOM1;National Trends;Nuclear;2030;0;0
NOM1;National Trends;Nuclear;2035;0;0
NOM1;National Trends;Nuclear;2040;0;0
NOM1;National Trends;Nuclear;2045;0;0
NOM1;National Trends;Nuclear;2050;0;0
NON1;National Trends;Nuclear;2030;0;0
NON1;National Trends;Nuclear;2035;0;0
NON1;National Trends;Nuclear;2040;0;0
NON1;National Trends;Nuclear;2045;0;0
NON1;National Trends;Nuclear;2050;0;0
NOS0;National Trends;Nuclear;2030;0;0
NOS0;National Trends;Nuclear;2035;0;0
NOS0;National Trends;Nuclear;2040;0;0
NOS0;National Trends;Nuclear;2045;0;0
NOS0;National Trends;Nuclear;2050;0;0
PL00;National Trends;Nuclear;2030;0;0
PL00;National Trends;Nuclear;2035;2220;2220
PL00;National Trends;Nuclear;2040;4440;4440
PL00;National Trends;Nuclear;2045;4440;4440
PL00;National Trends;Nuclear;2050;4440;4440
PT00;National Trends;Nuclear;2030;0;0
PT00;National Trends;Nuclear;2035;0;0
PT00;National Trends;Nuclear;2040;0;0
PT00;National Trends;Nuclear;2045;0;0
PT00;National Trends;Nuclear;2050;0;0
RO00;National Trends;Nuclear;2030;1739;1739
RO00;National Trends;Nuclear;2035;2413;2413
RO00;National Trends;Nuclear;2040;3087;3087
RO00;National Trends;Nuclear;2045;3087;3087
RO00;National Trends;Nuclear;2050;3087;3087
RS00;National Trends;Nuclear;2030;0;0
RS00;National Trends;Nuclear;2035;0;0
RS00;National Trends;Nuclear;2040;0;0
RS00;National Trends;Nuclear;2045;0;0
RS00;National Trends;Nuclear;2050;0;0
SE01;National Trends;Nuclear;2030;0;0
SE01;National Trends;Nuclear;2035;0;0
SE01;National Trends;Nuclear;2040;0;0
SE01;National Trends;Nuclear;2045;0;0
SE01;National Trends;Nuclear;2050;0;0
SE02;National Trends;Nuclear;2030;0;0
SE02;National Trends;Nuclear;2035;0;0
SE02;National Trends;Nuclear;2040;0;0
SE02;National Trends;Nuclear;2045;0;0
SE02;National Trends;Nuclear;2050;0;0
SE03;National Trends;Nuclear;2030;6883;6883
SE03;National Trends;Nuclear;2035;6388;6388
SE03;National Trends;Nuclear;2040;5893;5893
SE03;National Trends;Nuclear;2045;5893;5893
SE03;National Trends;Nuclear;2050;5893;5893
SE04;National Trends;Nuclear;2030;0;0
SE04;National Trends;Nuclear;2035;0;0
SE04;National Trends;Nuclear;2040;0;0
SE04;National Trends;Nuclear;2045;0;0
SE04;National Trends;Nuclear;2050;0;0
SI00;National Trends;Nuclear;2030;696;696
SI00;National Trends;Nuclear;2035;696;696
SI00;National Trends;Nuclear;2040;696;696
SI00;National Trends;Nuclear;2045;696;696
SI00;National Trends;Nuclear;2050;696;696
SK00;National Trends;Nuclear;2030;2815;2815
SK00;National Trends;Nuclear;2035;2822;2822
SK00;National Trends;Nuclear;2040;2830;2830
SK00;National Trends;Nuclear;2045;2830;2830
SK00;National Trends;Nuclear;2050;2830;2830
UK00;National Trends;Nuclear;2030;5510;5510
UK00;National Trends;Nuclear;2035;9373;9373
UK00;National Trends;Nuclear;2040;13236;13236
UK00;National Trends;Nuclear;2045;13236;13236
UK00;National Trends;Nuclear;2050;13236;13236
UKNI;National Trends;Nuclear;2030;0;0
UKNI;National Trends;Nuclear;2035;0;0
UKNI;National Trends;Nuclear;2040;0;0
UKNI;National Trends;Nuclear;2045;0;0
UKNI;National Trends;Nuclear;2050;0;0
AL00;Global Ambition;Nuclear;2030;0;0
AL00;Global Ambition;Nuclear;2035;0;0
AL00;Global Ambition;Nuclear;2040;0;0
AL00;Global Ambition;Nuclear;2045;0;0
AL00;Global Ambition;Nuclear;2050;0;0
AT00;Global Ambition;Nuclear;2030;0;0
AT00;Global Ambition;Nuclear;2035;0;0
AT00;Global Ambition;Nuclear;2040;0;0
AT00;Global Ambition;Nuclear;2045;0;0
AT00;Global Ambition;Nuclear;2050;0;0
BA00;Global Ambition;Nuclear;2030;0;0
BA00;Global Ambition;Nuclear;2035;0;0
BA00;Global Ambition;Nuclear;2040;0;0
BA00;Global Ambition;Nuclear;2045;0;0
BA00;Global Ambition;Nuclear;2050;0;0
BE00;Global Ambition;Nuclear;2030;2077;2077
BE00;Global Ambition;Nuclear;2035;1039;1039
BE00;Global Ambition;Nuclear;2040;0;0
BE00;Global Ambition;Nuclear;2045;0;0
BE00;Global Ambition;Nuclear;2050;0;0
BG00;Global Ambition;Nuclear;2030;2000;2000
BG00;Global Ambition;Nuclear;2035;3000;3000
BG00;Global Ambition;Nuclear;2040;4000;4000
