ws;Technology;cat;par;unit;priceyear;note;ref;est;year;val
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Nominal investment (*total) [MEUR/MW_e];MEUR/MW_e;2020;[C, F];[4, 5, 6, 7];ctrl;2015;0,255209452
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Nominal investment (*total) [MEUR/MW_e];MEUR/MW_e;2020;[C, F];[4, 5, 6, 7];ctrl;2020;0,255209452
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Nominal investment (*total) [MEUR/MW_e];MEUR/MW_e;2020;[C, F];[4, 5, 6, 7];ctrl;2030;0,255209452
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Nominal investment (*total) [MEUR/MW_e];MEUR/MW_e;2020;[C, F];[4, 5, 6, 7];ctrl;2050;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Nominal investment (*total) [MEUR/MW_e];MEUR/MW_e;2020;[C, F];[4, 5, 6, 7];lower;2020;0,159505908
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Nominal investment (*total) [MEUR/MW_e];MEUR/MW_e;2020;[C, F];[4, 5, 6, 7];lower;2050;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Nominal investment (*total) [MEUR/MW_e];MEUR/MW_e;2020;[C, F];[4, 5, 6, 7];upper;2020;0,361546724
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Nominal investment (*total) [MEUR/MW_e];MEUR/MW_e;2020;[C, F];[4, 5, 6, 7];upper;2050;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Nominal investment (equipment) [MEUR/MW_e];MEUR/MW_e;2020;0;;ctrl;2015;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Nominal investment (equipment) [MEUR/MW_e];MEUR/MW_e;2020;0;;ctrl;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Nominal investment (equipment) [MEUR/MW_e];MEUR/MW_e;2020;0;;ctrl;2030;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Nominal investment (equipment) [MEUR/MW_e];MEUR/MW_e;2020;0;;ctrl;2050;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Nominal investment (equipment) [MEUR/MW_e];MEUR/MW_e;2020;0;;lower;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Nominal investment (equipment) [MEUR/MW_e];MEUR/MW_e;2020;0;;lower;2050;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Nominal investment (equipment) [MEUR/MW_e];MEUR/MW_e;2020;0;;upper;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Nominal investment (equipment) [MEUR/MW_e];MEUR/MW_e;2020;0;;upper;2050;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Nominal investment (installation) [MEUR/MW_e];MEUR/MW_e;2020;0;;ctrl;2015;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Financial data;Nominal investment (installation) [MEUR/MW_e];MEUR/MW_e;2020;0;;ctrl;2020;0
