Year;Scenario;Technology;Node_Type;Value;Country;Climate_Year;Unit_Name
2030;National Trends;PS Closed;Market;9,225821266;Italy;CY1995;TWh
2030;National Trends;PS Closed;Market;9,225821266;Italy;CY2008;TWh
2030;National Trends;PS Closed;Market;9,225821266;Italy;CY2009;TWh
2030;National Trends;PS Closed;Market;2,43360603;Lithuania;CY1995;TWh
2030;National Trends;PS Closed;Market;2,43360603;Lithuania;CY2008;TWh
2030;National Trends;PS Closed;Market;2,43360603;Lithuania;CY2009;TWh
2030;National Trends;PS Closed;Market;2,598470216;Luxembourg;CY1995;TWh
2030;National Trends;PS Closed;Market;2,598470216;Luxembourg;CY2008;TWh
2030;National Trends;PS Closed;Market;2,598470216;Luxembourg;CY2009;TWh
2030;National Trends;PS Closed;Market;1,460371136;Morocco;CY1995;TWh
2030;National Trends;PS Closed;Market;1,460371136;Morocco;CY2008;TWh
2030;National Trends;PS Closed;Market;1,460371136;Morocco;CY2009;TWh
2030;National Trends;PS Closed;Market;3,450402319;Poland;CY1995;TWh
2030;National Trends;PS Closed;Market;3,450402319;Poland;CY2008;TWh
2030;National Trends;PS Closed;Market;3,450402319;Poland;CY2009;TWh
2030;National Trends;PS Closed;Market;2,127141397;Serbia;CY1995;TWh
2030;National Trends;PS Closed;Market;2,127141397;Serbia;CY2008;TWh
2030;National Trends;PS Closed;Market;2,127141397;Serbia;CY2009;TWh
2030;National Trends;PS Closed;Market;0,900091734;Slovakia;CY1995;TWh
2030;National Trends;PS Closed;Market;0,900091734;Slovakia;CY2008;TWh
2030;National Trends;PS Closed;Market;0,900091734;Slovakia;CY2009;TWh
2030;National Trends;PS Closed;Market;0,536479177;Slovenia;CY1995;TWh
2030;National Trends;PS Closed;Market;0,536479177;Slovenia;CY2008;TWh
2030;National Trends;PS Closed;Market;0,536479177;Slovenia;CY2009;TWh
2030;National Trends;PS Closed;Market;21,14256778;Spain;CY1995;TWh
2030;National Trends;PS Closed;Market;21,14256778;Spain;CY2008;TWh
2030;National Trends;PS Closed;Market;21,14256778;Spain;CY2009;TWh
2030;National Trends;PS Closed;Market;5,516761223;Switzerland;CY1995;TWh
