Year;Scenario;Category_Simple;Category_Detail;Value;Country;Climate_Year;Property_Name;Unit_Name
2030;National Trends;Gas;Gas OCGT;4,319688;Italy;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;77,5336183;Italy;CY2009;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,004800699;Italy;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;38,628295;Italy;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;3,28338;Italy;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;4,319688;Italy;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;0,651176502;Latvia;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;1,077003;Latvia;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;0,651176502;Latvia;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;1,077003;Latvia;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;0,651176502;Latvia;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;1,077003;Latvia;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;0,756911115;Lithuania;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,912999;Lithuania;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,11;Lithuania;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;0,756911115;Lithuania;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,912999;Lithuania;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,11;Lithuania;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;0,756911115;Lithuania;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,912999;Lithuania;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,11;Lithuania;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Hydrogen CCGT;0,005094685;Luxembourg;CY1995;Generation;TWh
2030;National Trends;Gas;Hydrogen CCGT;0,01;Luxembourg;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Hydrogen CCGT;0,005094685;Luxembourg;CY2008;Generation;TWh
2030;National Trends;Gas;Hydrogen CCGT;0,01;Luxembourg;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Hydrogen CCGT;0,005094685;Luxembourg;CY2009;Generation;TWh
2030;National Trends;Gas;Hydrogen CCGT;0,01;Luxembourg;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;39,86390438;Lybia;CY1995;Generation;TWh
2030;National Trends;Gas;Gas conventional;0,686084;Lybia;CY1995;Generation;TWh
2030;National Trends;Gas;Gas OCGT;11,44705194;Lybia;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;5,515;Lybia;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;4,550004;Lybia;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;3,74;Lybia;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;39,86390438;Lybia;CY2008;Generation;TWh
2030;National Trends;Gas;Gas conventional;0,686084;Lybia;CY2008;Generation;TWh
2030;National Trends;Gas;Gas OCGT;11,44705194;Lybia;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;5,515;Lybia;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;4,550004;Lybia;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;3,74;Lybia;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;39,86390438;Lybia;CY2009;Generation;TWh
2030;National Trends;Gas;Gas conventional;0,686084;Lybia;CY2009;Generation;TWh
2030;National Trends;Gas;Gas OCGT;11,44705194;Lybia;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;5,515;Lybia;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;4,550004;Lybia;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;3,74;Lybia;CY2009;Installed Capacity;GW
